density,profits_POM_2,profits_POM_5,profits_POM_7,profits_POM_10,profits_POM_12
50,127771.73,460294.06,601797.23,725290.28,774505.09
100,189017.09,804194.26,1106230.81,1384498.93,1497797.74
150,212266.04,1039904.61,1506962.64,1967571.2,2161301.72
200,216298.3,1186101.6,1805991.09,2466754.48,2757079.79
250,211413.19,1266151.1,2013669.87,2877841.13,3278375.01
300,202613.48,1301965.25,2146338.18,3201244.44,3720401.06
350,192193.54,1310414.57,2222544.12,3442533.65,4081376.39
400,181206.76,1302734.48,2259446.44,3611959.61,4363459.21
450,170164.11,1285687.1,2270626.36,3722840.84,4573070.5
500,159330.51,1263107.85,2265588.44,3789287.66,4720261.68
550,148854.7,1237135.7,2250402.53,3824082.46,4817191.32
600,138825.11,1208981.66,2228736.44,3837386.55,4876214.46
650,129293.54,1179355.39,2202774.28,3836438.24,4908232.04
700,120288.11,1148690.53,2173839.17,3825981.3,4921759.61
750,111820.66,1117268.65,2142755.1,3808982.02,4922784.88
800,103891.56,1085286.59,2110039.7,3787307.05,4915186.93
850,NA,1052898.64,2076011.17,3762200.33,4901373.72
900,NA,1020240.59,2040854.88,3734552.82,4882878.16
950,NA,NA,2004671.84,3705027.19,4860776.21
999,NA,NA,NA,3674737.14,4836442.79