density,profits_CS_0.05,profits_CS_0.07,profits_CS_0.1,profits_CS_0.12,profits_CS_0.14
50,460294.06,496800.85,524292.22,534942.67,542522.49
100,804194.26,909569.89,990427.47,1021848.24,1044190.69
150,1039904.61,1238296.39,1396821.41,1459217.47,1503704.79
200,1186101.6,1487759.64,1743484.4,1846421.36,1920282.24
250,1266151.1,1666916.97,2032131.02,2183799.57,2293725.83
300,1301965.25,1787426.71,2266103.85,2472690.02,2624462.91
350,1310414.57,1861817.06,2450122.98,2715382.64,2913554.27
400,1302734.48,1901852.17,2589894.18,2915000.23,3162663.8
450,1285687.1,1917475.42,2691650.47,3075320.49,3373995.96
500,1263107.85,1916399.83,2761697.76,3200558.46,3550203.65
550,1237135.7,1904207.96,2806023.76,3295138.6,3694276.47
600,1208981.66,1884728.2,2830020.48,3363475.75,3809414.92
650,1179355.39,1860486.17,2838320.32,3409790.13,3898908.3
700,1148690.53,1833110.24,2834745.01,3437966.74,3966017.05
750,1117268.65,1803640.85,2822338.17,3451463.6,4013875.07
800,1085286.59,1772746.22,2803451.52,3453266.24,4045409.43
850,1052898.64,1740859.62,2779856.62,3445885.48,4063286.72
900,1020240.59,1708267.43,2752861.79,3431380.74,4069880.49
950,NA,1675161.31,2723419.41,3411407.77,4067258.67
999,NA,1642346.75,2692853.34,3387789.93,4057454.04